Дата: 2016/05/26 16:17:00 Наименование: 'Приборы Dmitrienko D.S. часть 1' Позиций добавлено: 182\192 Статус: ОБРАБОТАНО И ПЕРЕМЕЩЕНО В АРХИВ
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('135', '27.01', '10', 'GS20', '25130-03', '12', '16228', '01.07.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('136', '27.01', '11', 'Trimble 5700', '21607-01', '12', '10565', '01.07.2006', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('137', '27.01', '11', 'Z-Max', '26721-04', '12', '18604', '01.04.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('138', '27.01', '12', 'Trimble 5700', '21607-06', '12', '10567', '01.10.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('139', '27.01', '12', 'Trimble 5700 L1', '21607-06', '12', '10567', '01.10.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('142', '27.01', '12', 'Pathfinder Pro XH', '30854-05', '12', '24023', '01.01.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('143', '27.01', '12', 'Pathfinder Pro XT', '30854-05', '12', '24023', '01.01.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('146', '27.01', '12', 'X20', '43628-10', '12', '39498', '01.04.2015', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('147', '27.01', '12', 'X60', '43628-10', '12', '39498', '01.04.2015', '496', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('150', '27.01', '13', 'Sokkia GSR2600', '25354-03', '12', '16545', '01.08.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('151', '27.01', '13', 'Sokkia Radian', '25355-03', '12', '16546', '01.08.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('152', '27.01', '13', 'Sokkia Radian IS', '25357-03', '12', '16549', '01.08.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('153', '27.01', '13', 'Trimble 5800', '26482-04', '12', '18256', '01.03.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('154', '27.01', '13', 'GX1220', '27987-04', '12', '20347', '01.11.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('155', '27.01', '13', 'GX1230', '27987-04', '12', '20347', '01.11.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('158', '27.01', '13', 'Trimble R5', '45147-10', '12', '41082', '01.08.2015', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('159', '27.01', '14', 'Sokkia Stratus', '25356-03', '12', '16547', '01.08.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('160', '27.01', '14', 'SR 20', '30836-05', '12', '24005', '01.01.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('161', '27.01', '14', 'Trimble R3', '31162-06', '12', '24427', '01.03.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('162', '27.01', '14', 'Spectra Precision EPOCH 10', '32131-06', '12', '25711', '01.07.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('163', '27.01', '14', 'ProMark3', '32992-06', '12', '26843', '01.12.2011', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('164', '27.01', '14', 'Sagitta-01', '35138-07', '12', '29477', '01.07.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('165', '27.01', '15', 'SF-2040G', '34175-07', '12', '28248', '01.04.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('166', '27.01', '15', 'SF-2050G', '34175-07', '12', '28248', '01.04.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('167', '27.01', '15', 'SF-2050M', '34175-07', '12', '28248', '01.04.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('174', '27.01', '16', 'MobileMapper Pro', '35561-07', '12', '30007', '01.08.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('175', '27.01', '16', 'MobileMapper CE', '35561-07', '12', '30007', '01.08.2012', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('178', '27.01', '17', 'RS 500', '25131-03', '12', '16229', '01.07.2008', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('179', '27.01', '18', 'GRX1200', '27986-04', '12', '20343', '01.11.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('180', '27.01', '18', 'GRX1200 Pro', '27986-04', '12', '20343', '01.11.2009', '363', '0', '0', null);
java.sql.SQLException: UNIQUE constraint failed: SDB_MAIN.Id В строке: INSERT INTO SDB_MAIN VALUES ('183', '31.01', '19', 'pH 100', '15081-00', '12', '65341', '01.12.2005', '201', '0', '0', null);
